kind,is_rep,variant,band,i,j,pair,dt_days,phase_days,hrsn_cc,das_cc,z_lo,z_hi,dvv,err,n,rms,dvv_edge,tau_s
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,25.0,,,0,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,25.0,50.0,,,0,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,50.0,100.0,,,0,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,100.0,200.0,,,3,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,200.0,400.0,,,0,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,400.0,600.0,,,0,,,
repeater,True,acausal,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,600.0,850.0,-0.003933213872266007,0.18324973942979964,14,0.005861711414028356,,0.06191701608881667
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,75.0,-0.04589487354752139,0.17875877755245392,28,0.0051879216897328445,,0.06542062332082034
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,75.0,250.0,-0.0031464196357821033,0.028597397716077232,80,0.005001570877991581,-0.037650173651269825,0.052763774591917764
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,250.0,550.0,-0.023692142550133716,0.023510988407484074,129,0.007053111246470242,0.10103019018233197,0.09785539564309136
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,550.0,850.0,0.013199961088202617,0.02840251860380611,94,0.00581455232037302,,0.07761748272974536
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,25.0,,,0,,,
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,25.0,50.0,0.06926639181283896,0.4095043019650341,6,0.001584150773718059,,0.01823659157543684
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,50.0,100.0,-0.05286431941522878,0.07985062033404587,40,0.004299769686118799,-0.0803061798360499,0.025170288522337637
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,100.0,200.0,-0.26665098633574447,0.08915251366585689,45,0.00637386393847995,-0.01942610779381677,0.03317922861328666
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,200.0,400.0,-0.08466305055287167,0.034882784436801186,91,0.006398780338675322,0.06270929456418718,0.06090874428561975
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,400.0,600.0,-0.06078969892920612,0.04897189231529837,68,0.0068084848714858506,-0.03658148240925493,0.06509885812265248
repeater,True,snr_eq,5-30,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,600.0,850.0,0.03257281238922381,0.04351184170447404,84,0.006043526939877327,,0.06191701608881667
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,75.0,-0.1937659630004977,0.13234527389181572,32,0.005777795233500356,,0.06542062332082034
