idx,tag,time,mag,depth,lat,lon,t,r,km_safod,cl
110,ev_20250304T152933,2025-03-04 15:29:33+00:00,1.04,8.339,36.10226,-120.60071,-13.063231297729924,5.847221487862162,14.312163046377988,23
111,ev_20250304T201048,2025-03-04 20:10:48+00:00,1.2,7.822,36.09697,-120.61293,-13.424775670739349,4.653843627110987,14.20854891659513,186
112,ev_20250304T233823,2025-03-04 23:38:23+00:00,0.57,8.435,36.10421,-120.60326,-13.378782701358018,5.838300575934706,14.597177130702912,153
113,ev_20250305T162544,2025-03-05 16:25:44+00:00,0.75,8.708,36.10695,-120.6004,-13.412251292775466,6.2356871369573135,14.790952599835212,164
114,ev_20250306T101126,2025-03-06 10:11:26+00:00,0.44,4.021,36.01513,-120.57862,-4.807381139813412,0.4021922909753299,4.824175790987896,69
115,ev_20250307T061016,2025-03-07 06:10:16+00:00,1.07,6.319,36.04691,-120.6009,-8.723525195976604,1.4833390175001813,8.84873925967293,11
116,ev_20250322T015835,2025-03-22 01:58:35+00:00,2.23,4.554,36.03122,-120.5873,-6.624667632756449,1.1150004705762937,6.717845435396403,197
117,ev_20250322T184603,2025-03-22 18:46:03+00:00,1.52,4.41,35.98905,-120.54949,-0.9035784855436972,0.2050086767580973,0.9265433811125888,42
118,ev_20250323T000218,2025-03-23 00:02:18+00:00,1.19,4.764,36.0171,-120.57364,-4.645431176886792,0.8739176737224761,4.726918966899719,47
119,ev_20250325T094316,2025-03-25 09:43:16+00:00,1.48,5.503,36.07215,-120.61803,-11.797820087831752,2.3779434130922894,12.035080959458288,170
120,ev_20250325T120542,2025-03-25 12:05:42+00:00,0.04,6.566,35.98362,-120.5433,-0.0828341730001735,0.1719050047206667,0.1908214633227487,64
121,ev_20250325T121040,2025-03-25 12:10:40+00:00,0.87,4.428,36.0699,-120.62159,-11.847412281743091,1.9745468056797837,12.010828983105924,198
122,ev_20250329T064347,2025-03-29 06:43:47+00:00,0.79,4.888,36.00677,-120.56445,-3.2485671016687734,0.6464263749583636,3.312258334171184,81
123,ev_20250329T064358,2025-03-29 06:43:58+00:00,0.79,3.847,36.0063,-120.56999,-3.5640802017845177,0.2570074640224997,3.573334650059472,82
124,ev_20250329T064647,2025-03-29 06:46:47+00:00,0.75,3.826,36.00781,-120.56519,-3.377415529555982,0.6811142093108258,3.445410313070277,83
125,ev_20250401T130147,2025-04-01 13:01:47+00:00,0.76,3.491,36.04095,-120.59191,-7.682968922401299,1.5867067113147515,7.845103546181877,94
126,ev_20250402T154647,2025-04-02 15:46:47+00:00,1.09,2.02,36.00199,-120.56274,-2.7639545325834503,0.3794011233618288,2.7898727337634623,123
127,ev_20250402T154714,2025-04-02 15:47:14+00:00,1.08,1.749,36.00276,-120.56288,-2.8334014820660043,0.4310339064999222,2.865999683727549,123
128,ev_20250406T061118,2025-04-06 06:11:18+00:00,3.17,3.271,35.99478,-120.5568,-1.8191664243635184,0.1904426443197588,1.8291076732404383,105
129,ev_20250406T061257,2025-04-06 06:12:57+00:00,1.07,2.718,35.99871,-120.55787,-2.1962311763982845,0.4313562678666588,2.238191146888854,101
130,ev_20250406T061956,2025-04-06 06:19:56+00:00,1.77,3.172,35.99799,-120.5582,-2.1606177377155618,0.3537522942290078,2.1893856887728576,99
131,ev_20250406T081710,2025-04-06 08:17:10+00:00,1.61,3.526,35.99954,-120.55899,-2.3327451002653743,0.425356860979875,2.371208165048941,124
132,ev_20250406T082321,2025-04-06 08:23:21+00:00,1.86,3.133,35.99934,-120.55943,-2.34501414963508,0.3816385304090728,2.3758660168202947,127
133,ev_20250406T125841,2025-04-06 12:58:41+00:00,1.14,2.541,36.00104,-120.5606,-2.553111361244868,0.4408602090007871,2.5908947000597764,126
134,ev_20250406T135122,2025-04-06 13:51:22+00:00,1.62,3.292,36.00073,-120.561,-2.5541869773783845,0.391038207006241,2.583946979863941,125
135,ev_20250406T142416,2025-04-06 14:24:16+00:00,1.18,3.536,36.00072,-120.56104,-2.555945626254914,0.3877070940703262,2.5851837140064307,125
136,ev_20250406T145218,2025-04-06 14:52:18+00:00,0.81,1.75,36.00144,-120.56096,-2.6074645706017523,0.4494055620438617,2.645909455393238,103
137,ev_20250406T220114,2025-04-06 22:01:14+00:00,0.53,1.178,36.00719,-120.56694,-3.4400076833475906,0.5210292837993926,3.4792419254870683,109
138,ev_20250408T040907,2025-04-08 04:09:07+00:00,0.94,1.799,35.99923,-120.55795,-2.2422050037712715,0.4671505716129484,2.290352142246958,50
139,ev_20250408T131133,2025-04-08 13:11:33+00:00,1.62,2.747,35.99836,-120.55627,-2.066917819095374,0.5056333830687666,2.1278661586123184,100
140,ev_20250410T010144,2025-04-10 01:01:44+00:00,1.42,5.0,36.02176,-120.57632,-5.182322323590727,1.0697947789799644,5.291590076217127,119
141,ev_20250410T202759,2025-04-10 20:27:59+00:00,0.6,5.008,36.04648,-120.60903,-9.20696426289679,0.9322839960007644,9.25404475823722,106
142,ev_20250414T190630,2025-04-14 19:06:30+00:00,2.05,4.49,36.03919,-120.59395,-7.674381011343483,1.3185409478114083,7.786826962140922,196
143,ev_20250415T042402,2025-04-15 04:24:02+00:00,0.9,3.708,36.0344,-120.58899,-6.982210636588636,1.2575010378250115,7.0945453859865095,112
144,ev_20250415T042436,2025-04-15 04:24:36+00:00,0.33,12.886,35.87747,-120.63095,2.686548539493298,-13.750418279713855,14.010408485199228,40
145,ev_20250416T172648,2025-04-16 17:26:48+00:00,0.78,4.664,36.00426,-120.55896,-2.7019379577464746,0.7983670398198568,2.817420568140637,180
146,ev_20250416T183517,2025-04-16 18:35:17+00:00,0.22,3.273,35.9281,-120.46087,9.52668938526358,1.051108101849528,9.5844999287948,92
147,ev_20250417T042322,2025-04-17 04:23:22+00:00,0.64,3.602,35.97675,-120.5291,1.360739953353954,0.5351963218530931,1.4622066624040533,162
148,ev_20250422T005122,2025-04-22 00:51:22+00:00,0.42,1.684,36.03633,-120.59635,-7.602211505142,0.9409857328524,7.660226753715921,199
149,ev_20250423T174424,2025-04-23 17:44:24+00:00,1.43,4.625,36.0364,-120.59104,-7.269882189038636,1.2843222973759234,7.382456962694613,111
