tag_i,tag_j,t_i,t_j,m_i,m_j,dt_days,das_min,das_2_8,das_4_16,das_10_40,hrsn,nsta,kind
ev_20250713T201505,ev_20241230T043933,2025-07-13 20:15:05+00:00,2024-12-30 04:39:33+00:00,,,195.64967592592592,,,,,-0.26973133537265337,7,random
ev_20241006T141305,ev_20250511T121311,2024-10-06 14:13:05+00:00,2025-05-11 12:13:11+00:00,,,216.9167361111111,,,,,-0.25841738469173614,6,random
ev_20250602T234113,ev_20250203T071922,2025-06-02 23:41:13+00:00,2025-02-03 07:19:22+00:00,,,119.68184027777778,,,,,-0.2786791098186841,7,random
ev_20250406T145218,ev_20241230T043933,2025-04-06 14:52:18+00:00,2024-12-30 04:39:33+00:00,,,97.42552083333334,,,,,-0.20300723002479057,8,random
ev_20250711T021610,ev_20240708T083036,2025-07-11 02:16:10+00:00,2024-07-08 08:30:36+00:00,,,367.73997685185185,,,,,-0.2913235644677892,4,random
ev_20250713T201505,ev_20250602T204939,2025-07-13 20:15:05+00:00,2025-06-02 20:49:39+00:00,,,40.97599537037037,,,,,0.20137633737398672,7,random
ev_20250521T013309,ev_20241006T141305,2025-05-21 01:33:09+00:00,2024-10-06 14:13:05+00:00,,,226.47226851851852,,,,,0.060125616602163826,6,random
ev_20250406T061956,ev_20250211T052714,2025-04-06 06:19:56+00:00,2025-02-11 05:27:14+00:00,,,54.03659722222222,,,,,0.2196104669479335,9,random
ev_20260106T130643,ev_20240902T194504,2026-01-06 13:06:43+00:00,2024-09-02 19:45:04+00:00,,,490.72336805555557,,,,,-0.05975196326450055,4,random
ev_20241223T074943,ev_20250727T130010,2024-12-23 07:49:43+00:00,2025-07-27 13:00:10+00:00,,,216.21559027777778,,,,,0.23230400860996916,8,random
ev_20250711T021610,ev_20240902T194504,2025-07-11 02:16:10+00:00,2024-09-02 19:45:04+00:00,,,311.2715972222222,,,,,0.2127430480570926,6,random
ev_20240522T154439,ev_20250807T090509,2024-05-22 15:44:39+00:00,2025-08-07 09:05:09+00:00,,,441.72256944444445,,,,,-0.3692098664053737,5,random
ev_20250406T142416,ev_20240609T163544,2025-04-06 14:24:16+00:00,2024-06-09 16:35:44+00:00,,,300.9087037037037,,,,,0.38226792971129553,5,random
ev_20250406T125841,ev_20250519T145612,2025-04-06 12:58:41+00:00,2025-05-19 14:56:12+00:00,,,43.081608796296294,,,,,-0.20936111084728054,9,random
ev_20240902T194504,ev_20250807T090509,2024-09-02 19:45:04+00:00,2025-08-07 09:05:09+00:00,,,338.5556134259259,,,,,0.1253474712315609,7,random
ev_20240522T154439,ev_20250211T052714,2024-05-22 15:44:39+00:00,2025-02-11 05:27:14+00:00,,,264.5712384259259,,,,,-0.3108889059763942,5,random
ev_20250406T125841,ev_20241230T181733,2025-04-06 12:58:41+00:00,2024-12-30 18:17:33+00:00,,,96.77856481481481,,,,,0.03340440305541334,8,random
ev_20260106T130643,ev_20250406T081710,2026-01-06 13:06:43+00:00,2025-04-06 08:17:10+00:00,,,275.2010763888889,,,,,0.014215557354623765,6,random
ev_20250221T210348,ev_20250701T112654,2025-02-21 21:03:48+00:00,2025-07-01 11:26:54+00:00,,,129.599375,,,,,0.32982440589780593,8,random
ev_20250323T000218,ev_20250203T071922,2025-03-23 00:02:18+00:00,2025-02-03 07:19:22+00:00,,,47.696481481481484,,,,,0.28993254971390264,8,random
ev_20250402T154647,ev_20241006T141305,2025-04-02 15:46:47+00:00,2024-10-06 14:13:05+00:00,,,178.06506944444445,,,,,0.35979070605428715,5,random
ev_20250211T052714,ev_20240522T213127,2025-02-11 05:27:14+00:00,2024-05-22 21:31:27+00:00,,,264.33040509259257,,,,,-0.28639932044473737,5,random
ev_20260106T130643,ev_20250807T090509,2026-01-06 13:06:43+00:00,2025-08-07 09:05:09+00:00,,,152.16775462962963,,,,,0.27219961494409795,5,random
ev_20250711T021610,ev_20260106T130643,2025-07-11 02:16:10+00:00,2026-01-06 13:06:43+00:00,,,179.45177083333334,,,,,-0.23494203801295982,6,random
ev_20250711T021610,ev_20240623T035208,2025-07-11 02:16:10+00:00,2024-06-23 03:52:08+00:00,,,382.9333564814815,,,,,-0.24707878854946252,3,random
ev_20260121T094534,ev_20250602T234113,2026-01-21 09:45:34+00:00,2025-06-02 23:41:13+00:00,,,232.4196875,,,,,-0.23839091689087524,8,random
ev_20241230T181733,ev_20240708T083036,2024-12-30 18:17:33+00:00,2024-07-08 08:30:36+00:00,,,175.40760416666666,,,,,0.3152643640472853,5,random
ev_20260106T130643,ev_20250110T170322,2026-01-06 13:06:43+00:00,2025-01-10 17:03:22+00:00,,,360.8356597222222,,,,,0.009273785898775505,4,random
ev_20250602T234113,ev_20250110T170322,2025-06-02 23:41:13+00:00,2025-01-10 17:03:22+00:00,,,143.27628472222221,,,,,-0.009898982190864825,6,random
ev_20241230T043933,ev_20250224T043042,2024-12-30 04:39:33+00:00,2025-02-24 04:30:42+00:00,,,55.993854166666665,,,,,-0.2133536379587131,7,random
ev_20260121T094534,ev_20250727T130010,2026-01-21 09:45:34+00:00,2025-07-27 13:00:10+00:00,,,177.8648611111111,,,,,0.16268082562544883,8,random
ev_20250211T052714,ev_20250402T154714,2025-02-11 05:27:14+00:00,2025-04-02 15:47:14+00:00,,,50.43055555555556,,,,,-0.2714673388236542,8,random
ev_20250218T074425,ev_20240708T083036,2025-02-18 07:44:25+00:00,2024-07-08 08:30:36+00:00,,,224.96792824074075,,,,,-0.34239478367732873,5,random
ev_20250408T040907,ev_20240513T093029,2025-04-08 04:09:07+00:00,2024-05-13 09:30:29+00:00,,,329.7768287037037,,,,,-0.2686713536117484,5,random
ev_20250511T121311,ev_20240901T170140,2025-05-11 12:13:11+00:00,2024-09-01 17:01:40+00:00,,,251.79966435185185,,,,,-0.2312448110985945,7,random
ev_20250323T000218,ev_20240513T093029,2025-03-23 00:02:18+00:00,2024-05-13 09:30:29+00:00,,,313.60542824074076,,,,,-0.28517107777948764,5,random
