kind,win,i,j,lab,contam,inc,rad,R,offset_m,dvv,err,n,rms,tau_span,coh_med
null,P,42,72,ctl,0.0019007917977112221,24.27075042144606,48.934925808787845,11608.267105359539,18122.618199173605,-0.7039414785391415,0.17757249431851085,25,0.03444051753160849,0.20590506999999997,0.036441197166165264
null,P,28,140,ctl,0.010921089299106401,80.12559322621189,18.181048871221147,9563.895637973157,157.01251083742739,-0.0943151115250967,0.050644930941845995,19,0.03428288574050604,0.2459573685,0.034200411724617755
null,P,63,126,ctl,0.005415273878103329,45.36772428876797,48.37477234508498,9048.430706695097,3908.406394030652,-0.4375233210323656,0.598693907405715,25,0.06699881375273142,0.188247513125,0.03076078613479303
null,P,56,75,ctl,0.0033187533029311253,61.223397025469126,18.391575495022412,10090.094836934037,738.2037909532631,0.13320861337439402,0.2077270455691656,135,0.044252360467679226,0.19944060849999998,0.049920453110685936
null,P,139,184,ctl,0.0026770332593781046,41.96792769460397,17.972932125754703,6038.286143437453,4830.085213074961,0.7194317916831889,0.12723350884448112,23,0.038108318447750145,0.13626674400000002,0.03182686859283431
null,P,81,189,ctl,0.0017771918876411713,37.556778868909696,24.525560093862186,10610.991487759651,12964.81327936419,-0.9394672699293355,0.9544066278479981,43,0.05018010444493438,0.209941083,0.045603272814633174
null,P,147,196,ctl,0.013870418350536066,50.09851385759582,39.77580100360894,3429.515655747417,2759.4335304999777,-0.962255856897984,0.4092881843913411,21,0.03795421223151686,0.19701215999999996,0.029030613157540575
null,P,17,132,ctl,0.002630910364871213,39.353405884236565,22.626580977564334,7052.649364515896,,,,6,,,9.64391929038384e-09
null,P,110,201,ctl,0.020964112872957297,70.74500654365886,74.0660073992822,10114.098476109459,556.5624988651842,0.1575329824944495,0.17085180934764285,43,0.04747978259446573,0.190992344,0.038466714952308904
null,P,61,172,ctl,0.0204077582760693,70.03957599075287,91.12109588209564,12293.963192695945,3563.0971322774444,-0.7980020903585457,0.4470219495646483,34,0.040184279230421865,0.18708459412500003,0.03529634952486818
null,P,31,53,ctl,0.002343629937720936,42.499590795366174,30.173030670161015,11797.123657379132,2126.9035057977,-0.16520298492125263,0.404655578581195,39,0.033968894823496056,0.21965487699999997,0.03826187718703327
null,P,31,199,ctl,0.013524468460291664,72.89137809021639,51.834502454232826,12451.543776827519,691.3496753387711,-0.18038442420485806,0.29167046042494343,25,0.05043737837722846,0.18286901275,0.03836723408854606
null,P,120,173,ctl,0.010732988782133353,60.16517919556765,33.084070241391174,5374.711782659171,4880.992699291889,1.5834702170845032,0.07596386124773688,23,0.03150716960747956,0.157609728,0.032913065640660454
null,P,76,105,ctl,0.0041050736687228894,62.733219350905934,25.681414131221004,12138.074591322238,176.17542371279228,-0.028160952869034906,0.6910839716840758,25,0.054246484808460754,0.171282577125,0.04815552366582153
null,P,75,142,ctl,0.007270017757415327,72.85852364814343,18.181048871221147,8108.172262226566,596.3981388216633,0.23848046889011656,1.1973932857591016,35,0.04039457812879082,0.052023523500000037,0.03726789177758427
repeater,coda,120,148,20250402/20250511,0.012094643069989884,62.562618775304685,19.93512367030764,3174.7457669091164,,,,0,,,1.139853260508601e-31
repeater,coda,18,130,20240708/20250406,0.007854715003389795,58.337895396901615,14.441720455312975,2981.364427811461,,,,0,,,4.294093340341387e-31
repeater,coda,11,143,20240623/20250423,0.0060830041808835915,60.160758235621586,29.48620863992261,8450.455046671046,,,,0,,,2.611867654123287e-28
repeater,coda,121,148,20250402/20250511,0.013458853901983052,65.04593000026341,19.7069281966514,3146.6457854220594,,,,0,,,4.248229835015143e-30
repeater,coda,125,148,20250406/20250511,0.012787600995822823,51.126571436684415,36.27596165935505,3519.032135328011,,,,0,,,2.2774040201958093e-104
repeater,coda,26,176,20240901/20250701,0.0033085852428241073,18.228972020042278,48.37477234508498,4815.3287518933785,,,,0,,,3.9635199366262897e-45
repeater,coda,25,176,20240901/20250701,0.006510339950189137,29.512024616069535,48.37477234508498,4206.006641668212,,,,0,,,1.998200607932664e-65
acausal,coda,120,148,rev,,,,,,,,0,,,8.767699611223147e-34
acausal,coda,18,130,rev,,,,,,,,0,,,1.7105623367386782e-40
acausal,coda,11,143,rev,,,,,,,,0,,,3.8696534483698507e-106
acausal,coda,121,148,rev,,,,,,,,0,,,9.987426328826344e-34
acausal,coda,125,148,rev,,,,,,,,0,,,1.055416182460782e-117
acausal,coda,26,176,rev,,,,,,,,0,,,5.066885468898793e-101
acausal,coda,25,176,rev,,,,,,,,0,,,1.689290061393614e-83
null,coda,119,185,ctl,0.002013717720843696,41.22139727597048,14.949233802690072,6503.855739115877,,,,0,,,2.749603571669658e-32
null,coda,53,83,ctl,0.0034167872700949058,31.5994759493854,47.821030905058635,8610.161900374736,,,,0,,,1.1588208672559965e-29
null,coda,64,103,ctl,0.020605305476520012,74.62489374383341,67.54900157596033,11921.780746296394,,,,0,,,3.602536521644239e-54
null,coda,61,140,ctl,0.008425453260365184,80.8482160043508,15.122337771728859,11141.071468598513,,,,0,,,4.2989472869908647e-29
null,coda,100,134,ctl,0.003521845400251469,54.68698017791343,29.14868280069569,11683.741467049162,,,,0,,,4.377460108537784e-78
null,coda,7,166,ctl,0.00993310429715365,47.6745099116335,47.821030905058635,5286.129899697078,,,,0,,,6.274512544885916e-106
null,coda,124,190,ctl,0.01014537822813744,55.16435353285604,43.61329853458739,6177.007880079213,,,,0,,,9.48724094444596e-53
null,coda,93,119,ctl,0.002650592995753215,66.00778806299567,14.608947696759518,12383.734783793308,,,,0,,,3.008406069874797e-34
null,coda,27,164,ctl,0.0008826654449327193,37.55352574624065,12.291897616602228,10706.39182665819,,,,0,,,3.853796288383894e-27
null,coda,3,195,ctl,0.009329053133799116,72.83744072280055,33.854697234139856,11750.430187722908,,,,0,,,6.340500637306798e-30
null,coda,78,115,ctl,0.0017127784929246478,42.42746161162404,15.474582268712687,8257.835134794646,,,,0,,,1.0924188018240745e-28
null,coda,17,143,ctl,0.002481693718062684,39.98384344837558,29.48620863992261,9964.042313693593,,,,0,,,1.2264526155595344e-37
null,coda,57,74,ctl,0.007858769015888785,53.54979033523628,44.6291827606918,7688.560611714989,,,,0,,,9.405921331083375e-53
null,coda,164,203,ctl,0.003444996714076031,61.51802429362161,16.203876862731317,8669.451032635501,,,,0,,,2.710569299136756e-31
