kind,is_rep,i,j,lapse,dvv,err,nsta,coda_cc,dvv_h1,dvv_h2,dt_days,phase_days,hrsn_cc,das_cc,t_i,t_j
control,False,1,124,1-6,0.0017463095804141364,0.017158481713209824,5,0.21331817437428877,0.019721189208896116,0.003127166301556796,329.07689814814813,37.0,0.144648331885632,0.2039642952049053,2024-05-12 04:29:12+00:00,2025-04-06 06:19:56+00:00
control,False,1,124,2-12,0.000851499185865397,0.012914532213100856,5,0.2302875737246461,0.0009326210552886184,0.012720903101054455,329.07689814814813,37.0,0.144648331885632,0.2039642952049053,2024-05-12 04:29:12+00:00,2025-04-06 06:19:56+00:00
control,False,1,124,4-14,-0.006275045049719142,0.011510278763429365,5,0.2697748518561369,-0.006165311231640618,-0.0016934438302391944,329.07689814814813,37.0,0.144648331885632,0.2039642952049053,2024-05-12 04:29:12+00:00,2025-04-06 06:19:56+00:00
control,False,124,190,1-6,0.01424934510892,0.014740997055588219,5,0.2528315794038519,0.012421568539234104,0.007142395975167166,121.76697916666669,122.0,-0.1740899366584736,-0.1692392640636396,2025-04-06 06:19:56+00:00,2025-08-06 00:44:23+00:00
control,False,124,190,2-12,0.003978931067106698,0.004743011088440862,7,0.19867865092088102,0.01788332668243223,-0.005356418447194783,121.76697916666669,122.0,-0.1740899366584736,-0.1692392640636396,2025-04-06 06:19:56+00:00,2025-08-06 00:44:23+00:00
control,False,124,190,4-14,-0.006063046305048805,0.005249522757963658,6,0.27885606407335956,-0.004154804138831856,0.00024428963165324183,121.76697916666669,122.0,-0.1740899366584736,-0.1692392640636396,2025-04-06 06:19:56+00:00,2025-08-06 00:44:23+00:00
control,False,93,119,1-6,-0.005260908049247476,0.013464398691730274,6,0.1931990521967178,-0.02592882688060752,-0.025539157419374618,30.07,30.0,-0.1946688227709188,0.1960607797095429,2025-03-02 11:20:59+00:00,2025-04-01 13:01:47+00:00
control,False,93,119,2-12,0.02075083735346044,0.008689436336727495,7,0.24713497953850186,-0.0030738161530814933,0.004467131640945515,30.07,30.0,-0.1946688227709188,0.1960607797095429,2025-03-02 11:20:59+00:00,2025-04-01 13:01:47+00:00
control,False,93,119,4-14,0.02146628922107668,0.008062821945456256,6,0.2565567062981179,0.01344910786269315,-0.0025367375690755908,30.07,30.0,-0.1946688227709188,0.1960607797095429,2025-03-02 11:20:59+00:00,2025-04-01 13:01:47+00:00
control,False,27,164,1-6,-0.0027156409697466927,0.016126108228210936,6,0.29717849690850934,0.02140892706994408,-0.010744921032438733,273.99717592592594,92.0,-0.2729629946031955,-0.2016115443893775,2024-09-01 21:05:56+00:00,2025-06-02 21:01:52+00:00
control,False,27,164,2-12,0.014191880119865552,0.00947425683923071,6,0.3118897272419317,0.018269929580964378,0.01942989403908626,273.99717592592594,92.0,-0.2729629946031955,-0.2016115443893775,2024-09-01 21:05:56+00:00,2025-06-02 21:01:52+00:00
control,False,27,164,4-14,-0.001840370458731323,0.012691407817203156,6,0.2982871221569847,-0.014554644457662112,-0.005708648038054303,273.99717592592594,92.0,-0.2729629946031955,-0.2016115443893775,2024-09-01 21:05:56+00:00,2025-06-02 21:01:52+00:00
control,False,3,195,1-6,0.032457787113601776,0.002238572274060727,2,0.278576826796641,-0.0015402151013136013,0.024025040943370542,593.5596643518519,137.0,0.2556517400733986,0.1374723072428916,2024-05-22 15:44:39+00:00,2026-01-06 05:10:34+00:00
control,False,3,195,2-12,0.010256448520660214,0.0027418491211853987,2,0.2157703976447325,-0.0029547735748004338,0.02099854581157364,593.5596643518519,137.0,0.2556517400733986,0.1374723072428916,2024-05-22 15:44:39+00:00,2026-01-06 05:10:34+00:00
control,False,3,195,4-14,0.00576476225297715,0.00612217287857151,2,0.2024538623393808,0.022849038344761444,0.001287976193069815,593.5596643518519,137.0,0.2556517400733986,0.1374723072428916,2024-05-22 15:44:39+00:00,2026-01-06 05:10:34+00:00
control,False,78,115,1-6,0.029253592997674167,0.007845356120087623,8,0.278553052697184,0.021321088138142062,0.014178026950659903,49.27974537037037,49.0,-0.1614861525335913,0.1672325883710252,2025-02-04 05:27:50+00:00,2025-03-25 12:10:40+00:00
control,False,78,115,2-12,0.01611642188779342,0.011586574565703835,8,0.20790429494263102,0.017010115564007375,0.024662640228849175,49.27974537037037,49.0,-0.1614861525335913,0.1672325883710252,2025-02-04 05:27:50+00:00,2025-03-25 12:10:40+00:00
control,False,78,115,4-14,0.023670042242299655,0.00975050397785718,6,0.22602716195778488,-0.0032038698360743103,-0.004510078538957553,49.27974537037037,49.0,-0.1614861525335913,0.1672325883710252,2025-02-04 05:27:50+00:00,2025-03-25 12:10:40+00:00
control,False,2,32,1-6,-0.025573960154539926,0.004084440537704156,3,0.34580418068772045,0.022910530747566285,-0.024191675342839176,129.4962847222222,129.0,0.2704600494470966,0.3003631066927122,2024-05-13 09:30:29+00:00,2024-09-19 21:25:08+00:00
control,False,2,32,2-12,-0.03401689463447802,0.00677235761701868,3,0.3488737152317507,-0.020476679359044087,-0.009239624510486068,129.4962847222222,129.0,0.2704600494470966,0.3003631066927122,2024-05-13 09:30:29+00:00,2024-09-19 21:25:08+00:00
control,False,2,32,4-14,-0.02075126852357151,0.019341071080260556,4,0.39538352036627045,-0.020999699690341635,-0.005173138363408834,129.4962847222222,129.0,0.2704600494470966,0.3003631066927122,2024-05-13 09:30:29+00:00,2024-09-19 21:25:08+00:00
control,False,17,143,1-6,0.008743435095787254,0.006031930904141119,4,0.3919708294471947,0.009500105049009869,0.0050200838978513495,292.40239583333334,74.0,0.2944549764483796,0.2581982389659062,2024-07-05 08:04:57+00:00,2025-04-23 17:44:24+00:00
