trial_id,estimated_dvv,estimated_dvv_se,n_channels,nuisance_intercept_s,residual_scale_s,median_channel_correlation
N0aaac581d87b7fed,-0.0001362432337,0.00197926779,71,-6.818439296e-05,0.0005014561623,0.9811334014
N1d16fbf6ce46ebdf,-0.002220127273,0.001608775077,71,-0.0003717336004,0.0003639158147,0.9850584269
N61dad4a256e12d32,0.006207882385,0.001564635144,71,6.432867167e-05,0.0003336204102,0.9785065651
N47ce439e7bea3b2e,0.004897927865,0.001848421421,71,0.0001356382769,0.0004755246888,0.9850404859
N1d6ce48584840505,-0.001601583972,0.001840124069,70,-3.052897226e-05,0.0004526267353,0.9354840219
N739ec45f342bc305,0.01034017899,0.001951286089,71,0.0006393196856,0.0004779898219,0.9814507365
N2a4f9f45f4340c2f,0.01161658617,0.001855801225,71,-0.0005145724834,0.0003974974635,0.9789765477
N514b461406f35df9,0.003037549543,0.001891580221,71,-7.876496003e-06,0.0004404240115,0.9796490669
N656900f97c77aa2d,-0.008466341474,0.002221097713,71,1.439538922e-05,0.0005473515748,0.978704989
N2505ace17e4519db,-0.006382931057,0.001522095923,71,-0.0004060313154,0.0003580997694,0.9827913046
N47f227d953479b5c,0.01041796221,0.002103660775,71,-0.000374871122,0.0005051880803,0.9460129142
N2518ba795fa3d027,0.003112179653,0.001928684318,71,0.0003884504076,0.0004922698015,0.9851977229
N0b01d929040365b3,-0.0009371880421,0.001526532724,70,-7.916825219e-05,0.0003084165605,0.9642755687
N012018360b074212,0.002547492545,0.002171825841,71,-0.0003316626357,0.0004750680532,0.9795597196
N45da997b080f6029,-0.0006303271505,0.001979151772,71,-6.824883825e-05,0.000501722707,0.9798788428
N2ce61ba731f69100,-0.002633216369,0.001747014049,71,-2.898017714e-05,0.0004564188206,0.9797024727
N3f10d1c4d69c7533,-0.008315754372,0.002175794958,71,0.0001742306417,0.0005146899973,0.9841226935
N049d54a473cdc1ea,-0.001624419486,0.001610973706,71,-0.0003715801629,0.0003652157093,0.9851525426
N144ea0ada08b1875,0.002854995196,0.001935804328,71,0.000399901388,0.0004832389035,0.985467732
N426f20d14e68ada3,-0.0001236594895,0.001613535941,71,-0.0003711982667,0.000365761487,0.9817401171
N7c7c2f11f14e83c8,-0.009250082298,0.001847442946,70,0.0001795839561,0.0004713577647,0.9846558571
N4f89e26af28042a1,0.004364896575,0.002258520763,71,0.000620259095,0.0005961228555,0.9703581929
N094d4ec9d3cee9b2,-0.004238102218,0.001855832763,70,0.0001794340355,0.0004743293142,0.9855670929
N605c5dfc16a0d3c6,0.004515312544,0.00202534501,70,-9.284175952e-05,0.0005334181685,0.9824725389
N6a4f28896ef26864,0.0108135689,0.001767366649,69,-0.0002120956577,0.0003985008014,0.9846504331
N468fe16268cce27b,0.005624987586,0.001983824793,71,-7.558524092e-05,0.0004721725825,0.9810451865
N5888822412743f9e,0.003706255092,0.001982510948,71,-7.676853346e-05,0.0004705103817,0.9798564911
N6d908c9db4d3203d,0.001494496191,0.001858241722,71,-0.0005145675304,0.0003948684889,0.9763726592
N29b44fd359d947f7,0.002279464623,0.001928477166,71,0.0004484679296,0.0004810746461,0.9821614623
N0eedb9c3aa0e982c,0.0002068107877,0.002132763624,69,-0.000371959495,0.0004517701446,0.9837630391
N6f329ad64d6e8287,0.0008347769552,0.001506405236,71,7.516749688e-05,0.0003675646976,0.9821266532
N7e18279449bf9b27,-0.0001818144645,0.001733834901,70,-0.0001313958967,0.0004033480696,0.9843956828
N3ecdcd141b916811,0.008687468711,0.001986654846,71,-7.381862475e-05,0.0004755335928,0.9808604717
N36c847b8980e34f0,0.002810092315,0.001507481158,71,7.557605746e-05,0.0003682135456,0.9818176031
N61bad0d511f57088,0.001833787591,0.002168827048,71,0.000175990773,0.0005100079601,0.9804259539
N4b6a4310151a0c80,-0.006753610076,0.001570161686,71,0.0002154361439,0.0003541401993,0.986266613
N6b3a2ab464f06a78,0.001718906729,0.002144820319,69,-0.0003710411166,0.0004596733243,0.9838326573
N23397a8510df7a06,0.002480554031,0.001928560488,71,0.0004485422403,0.0004809395077,0.9822997451
N3b955a6747f12195,-0.001980886497,0.001866099395,70,-0.000184292827,0.0004969414354,0.9839495122
N3c50fc67bb9dad6d,0.0003895901967,0.001710354796,70,0.0001359321217,0.0003563447671,0.9894072711
N5071a823a9c69fd6,-0.005515326205,0.001911997654,70,0.00026054011,0.0005833122428,0.9814582467
N1819a14d7b414a51,-0.004387058633,0.002032619576,71,0.0001229780599,0.0005854033436,0.9815835953
N466a5c24a9f68fa2,0.001506137504,0.002018857143,70,-9.466415922e-05,0.0005308445085,0.9837698042
N1736828c29041b4c,0.01023762985,0.00182010081,71,5.08290367e-05,0.0004475445814,0.9809134007
N1d249f0f55fa9bba,0.0003597664741,0.001979345162,71,-6.808872676e-05,0.0005011799443,0.9821277857
N523e0ae41adb8b29,0.00139009065,0.001898597657,71,0.0005023936092,0.0005415302548,0.9690080285
N4cc399b2a5f7eff9,0.0005555419753,0.001965667687,71,2.587114531e-05,0.00055880895,0.9819507599
N7ac46b634423a7d5,0.0002773955916,0.0018162931,71,4.521472997e-05,0.0004437922215,0.9808288217
N43d251c8df0ff8fd,0.002357051747,0.002271569783,71,-0.0001908051901,0.0005318731423,0.9819045663
N4f015ea8c608c892,-0.0004263088912,0.001868656899,71,-0.0005160613885,0.000399700942,0.9773395061
N40900c307db8ee37,0.0005902315331,0.001863417574,71,-0.0005151722853,0.0003971003572,0.9768512249
N6a1c02299087a589,-0.0001659330065,0.001635175933,71,9.713106701e-05,0.0003842390449,0.9853114486
N1e01eadb06734eca,-0.0001497815408,0.001746779884,71,-2.825754646e-05,0.0004571592699,0.9782179594
N03bf870504d016b0,0.001776586407,0.001928233257,71,0.0004482484349,0.0004812501132,0.9817301035
N184e9ca14408cb90,0.001933833887,0.002168823248,71,0.0001760569298,0.0005099680716,0.9803314805
N758bf833708ba2be,0.003055020602,0.002269517834,71,-0.000190540318,0.000530861564,0.9820431471
N6bd6800f5a7d93d3,-0.001176698627,0.001734368741,70,-0.0001316906902,0.0004040829382,0.9847176969
N61a6b40d8a38015e,0.0001608185277,0.002035416665,71,0.0001251857814,0.0005847528416,0.9815835953
N5092ad8dba118b8c,-0.001491555996,0.001918249869,70,0.0002613155656,0.0005894538496,0.9809581935
N12b7b1755772b402,-0.002172477657,0.002000781193,71,-0.0002763993859,0.0004401183317,0.9816462398
N1d4ebdca8b46aac7,0.01230027038,0.001922358549,71,0.0004497873747,0.0004745462682,0.9808578491
N43133460a1274800,-0.0004496385685,0.00216183981,71,-0.0003322010091,0.0004775222084,0.9795012474
N53827350dbc8c2b1,0.0002942438024,0.001854730228,70,0.0001814121253,0.0004748903499,0.9831907153
N31676284c9e42380,0.0008655463623,0.001775394824,69,-0.0002120644594,0.00039974772,0.9862122536
N1b0a4eaadbbf931d,-0.01069506026,0.00163514037,71,9.607304115e-05,0.0003864063614,0.986450851
N153ec503f8742d11,0.0007387328139,0.002170802895,71,0.0001755609087,0.0005103387138,0.9813116789
N5d2f2a4a6d2bea64,5.316655863e-05,0.002154342453,71,4.445888643e-05,0.0005803702574,0.9796766043
N307abd1b3fb02935,0.00167783432,0.002223091522,71,1.60794481e-05,0.0005463042438,0.983096242
N54fd3f3db751d295,0.008051840104,0.001885555511,71,0.0003910152886,0.0004594980178,0.9824870229
N75c7d0d878b28b7f,0.002238400894,0.001635107469,70,0.0006819267762,0.000352210304,0.9804674983
N16da3c1195a1ad5e,0.005001608308,0.001900712515,71,0.0003888827688,0.0004713225961,0.9843500853
