band_low_hz,band_high_hz,canonical_burst_index,n_common_drops,positive_slowness_ms_per_m,positive_t0_s,positive_semblance,negative_slowness_ms_per_m,negative_t0_s,negative_semblance,direction_margin
35.0,45.0,2,18,0.33898305084745767,-0.1,0.6949713826179504,-0.625,0.28800000000000037,0.030017124488949776,0.6649542581290007
35.0,45.0,3,18,0.33898305084745767,-0.1,0.71067875623703,-0.4444444444444445,0.2960000000000004,0.03254387527704239,0.6781348809599876
35.0,45.0,4,19,0.3448275862068965,-0.06799999999999998,0.26873546838760376,-0.588235294117647,0.3120000000000004,0.031312018632888794,0.23742344975471497
35.0,45.0,5,19,0.33898305084745767,-0.07999999999999999,0.5428451895713806,-0.45454545454545453,0.05200000000000013,0.03963438794016838,0.5032108016312122
35.0,45.0,6,17,0.3448275862068965,-0.03999999999999995,0.19159571826457977,-0.425531914893617,-0.031999999999999945,0.026196829974651337,0.16539888828992844
35.0,45.0,7,19,0.3333333333333333,-0.03999999999999995,0.13768713176250458,-0.28169014084507044,-0.023999999999999938,0.034556079655885696,0.10313105210661888
35.0,45.0,8,19,0.33898305084745767,-0.1,0.6960654854774475,-0.47619047619047616,0.3200000000000004,0.033117473125457764,0.6629480123519897
35.0,45.0,9,18,0.3448275862068965,-0.1,0.6263954043388367,-0.20833333333333334,0.26400000000000035,0.0495755672454834,0.5768198370933533
35.0,45.0,10,18,0.37037037037037035,-0.07999999999999999,0.031198685988783836,-0.39215686274509803,0.05600000000000013,0.020530985668301582,0.010667700320482254
35.0,45.0,11,18,0.33898305084745767,-0.055999999999999966,0.4713340401649475,-0.32786885245901637,0.06400000000000014,0.04147777333855629,0.4298562668263912
35.0,45.0,12,18,0.33898305084745767,-0.088,0.31742942333221436,-0.3508771929824561,-0.011999999999999927,0.030057799071073532,0.2873716242611408
35.0,45.0,13,20,0.33898305084745767,-0.092,0.601152241230011,-0.28169014084507044,0.06400000000000014,0.04559347778558731,0.5555587634444237
35.0,45.0,14,20,0.33898305084745767,-0.1,0.7032339572906494,-0.28169014084507044,0.06400000000000014,0.03342554718255997,0.6698084101080894
35.0,45.0,15,19,0.33898305084745767,-0.1,0.7003870010375977,-0.3076923076923077,0.08800000000000016,0.035269174724817276,0.6651178263127804
35.0,45.0,16,20,0.3333333333333333,-0.092,0.06459084898233414,-0.5263157894736842,-0.007999999999999924,0.025361906737089157,0.03922894224524498
35.0,45.0,17,20,0.3333333333333333,-0.011999999999999927,0.11006373912096024,-0.47619047619047616,0.04400000000000012,0.02668563462793827,0.08337810449302197
35.0,45.0,18,18,0.33898305084745767,-0.092,0.6116129755973816,-0.2173913043478261,0.15200000000000022,0.04101071506738663,0.570602260529995
35.0,45.0,19,18,0.3448275862068965,-0.023999999999999938,0.08358946442604065,-0.45454545454545453,0.004000000000000087,0.03516658768057823,0.04842287674546242
35.0,45.0,20,19,0.3448275862068965,-0.03599999999999995,0.2608385384082794,-0.33898305084745767,0.06400000000000014,0.04492419213056564,0.21591434627771378
35.0,45.0,21,19,0.3333333333333333,-0.03999999999999995,0.33717820048332214,-0.38461538461538464,0.06800000000000014,0.04247967153787613,0.294698528945446
35.0,45.0,22,18,0.33898305084745767,-0.07199999999999998,0.4338250458240509,-0.45454545454545453,0.05600000000000013,0.04078901559114456,0.39303603023290634
35.0,45.0,23,18,0.33898305084745767,-0.092,0.5283821225166321,-0.4878048780487805,0.028000000000000108,0.04656984657049179,0.4818122759461403
35.0,45.0,24,20,0.33898305084745767,-0.1,0.5003395676612854,-0.33898305084745767,0.07600000000000015,0.030034104362130165,0.47030546329915524
35.0,45.0,25,20,0.3508771929824561,-0.06799999999999998,0.24503099918365479,-0.22222222222222224,0.08800000000000016,0.03716981038451195,0.20786118879914284
35.0,45.0,26,18,0.35714285714285715,-0.01599999999999993,0.08941201120615005,-0.6666666666666666,0.0200000000000001,0.03273957967758179,0.05667243152856827
35.0,45.0,27,19,0.3333333333333333,-0.07199999999999998,0.14080551266670227,-0.39215686274509803,0.06400000000000014,0.029691673815250397,0.11111383885145187
35.0,45.0,28,17,0.33898305084745767,-0.092,0.6712157130241394,-0.38461538461538464,0.05200000000000013,0.0363471694290638,0.6348685435950756
