leg,band_low_hz,band_high_hz,aperture_index,start_m,stop_m,center_m,direction,discovery_slowness_ms_per_m,discovery_center_time_s,discovery_semblance,validation_semblance
outbound,15.0,30.0,5,1000.5310000000001,1392.5758,1199.61625,positive,0.698005698005698,0.552,0.11941209103250114,0.06715229382123707
outbound,15.0,30.0,5,1000.5310000000001,1392.5758,1199.61625,negative,-0.5733618233618234,2.392,0.10568675851810615,0.0864592810317168
outbound,15.0,30.0,6,1200.6372000000001,1592.682,1399.72245,positive,0.6445868945868946,1.3039999999999998,0.1726320862520567,0.1551065488447837
outbound,15.0,30.0,6,1200.6372000000001,1592.682,1399.72245,negative,-0.7692307692307693,2.1799999999999997,0.04789417739804916,0.033986810599413275
outbound,15.0,30.0,7,1400.7434,1792.7882,1599.82865,positive,0.6623931623931624,1.244,0.32535620894278733,0.28952601667447514
outbound,15.0,30.0,7,1400.7434,1792.7882,1599.82865,negative,-0.608974358974359,0.176,0.05866067490361345,0.024847273368302482
outbound,15.0,30.0,8,1600.8496,1992.8944000000001,1799.93485,positive,0.5911680911680912,0.0,0.06920158293209994,0.03310173647682985
outbound,15.0,30.0,8,1600.8496,1992.8944000000001,1799.93485,negative,-0.7692307692307693,1.244,0.07026817520996996,0.07599619796179821
outbound,15.0,30.0,9,1800.9558,2193.0006,2000.04105,positive,0.5733618233618234,1.7,0.12249562021081185,0.07284932278307692
outbound,15.0,30.0,9,1800.9558,2193.0006,2000.04105,negative,-0.7692307692307693,2.564,0.13102156917513302,0.034022131974359014
outbound,15.0,30.0,10,2001.0620000000001,2393.1068,2200.14725,positive,0.6445868945868946,1.728,0.3888569072809308,0.3457238915833081
outbound,15.0,30.0,10,2001.0620000000001,2393.1068,2200.14725,negative,-0.698005698005698,2.616,0.12423703770485105,0.09850122444810165
outbound,15.0,30.0,11,2201.1682,2593.213,2400.25345,positive,0.6445868945868946,1.728,0.9104500357416989,0.38374926957156885
outbound,15.0,30.0,11,2201.1682,2593.213,2400.25345,negative,-0.6623931623931624,2.452,0.09141561102731294,0.06294666139835292
outbound,15.0,30.0,12,2401.2744000000002,2793.3192,2600.35965,positive,0.6445868945868946,1.64,0.8723074166656744,0.40870097759484597
outbound,15.0,30.0,12,2401.2744000000002,2793.3192,2600.35965,negative,-0.6445868945868946,2.412,0.12332951940806461,0.09318701094950199
outbound,15.0,30.0,13,2601.3806,2993.4254,2800.46585,positive,0.6445868945868946,1.768,0.4819065675927226,0.3294268873758868
