leg,band_low_hz,band_high_hz,assumed_depth_m,target_leg_coordinate_m,window_start_m,window_stop_m,window_center_m,n_channels,direction,discovery_slowness_ms_per_m,discovery_velocity_mps,discovery_center_time_s,discovery_semblance,validation_semblance,validation_trajectory_rms_ratio,target_null_permutation_p
return,3.0,15.0,3050.0,425.3137999999999,324.6621,522.7264,423.69425,49,negative,-0.5555555555555556,-1800.0,1.16,0.052997485721478055,0.030506399734423966,1.0619475732555532,nan
return,15.0,30.0,3050.0,425.3137999999999,324.6621,522.7264,423.69425,49,positive,0.7692307692307693,1300.0,0.47600000000000003,0.3858649543242991,0.3478392468714126,1.010350866920518,nan
return,15.0,30.0,3050.0,425.3137999999999,324.6621,522.7264,423.69425,49,negative,-0.5555555555555556,-1800.0,1.168,0.18113708068788745,0.14711181926861167,1.4081320711022616,nan
return,3.0,15.0,3100.0,375.3137999999999,275.6565,473.7208,374.68865,49,positive,0.6517094017094017,1534.4262295081967,0.39199999999999996,0.11412122108013362,0.06867942984731437,0.6975762057055787,nan
return,3.0,15.0,3100.0,375.3137999999999,275.6565,473.7208,374.68865,49,negative,-0.5555555555555556,-1800.0,0.528,0.045999630456297694,0.030910018939033914,1.1375690992180292,nan
return,15.0,30.0,3100.0,375.3137999999999,275.6565,473.7208,374.68865,49,positive,0.7158119658119658,1397.0149253731345,0.444,0.4417197432976179,0.5124507631289625,1.1781690382902905,nan
return,15.0,30.0,3100.0,375.3137999999999,275.6565,473.7208,374.68865,49,negative,-0.5555555555555556,-1800.0,2.7479999999999998,0.11548960347122704,0.033312255779309796,0.869750387449884,nan
return,3.0,15.0,3150.0,325.3137999999999,224.609,422.6733,323.64115,49,positive,0.7478632478632478,1337.1428571428573,1.176,0.08696945005348067,0.026665532754914553,0.9648049789134512,nan
return,3.0,15.0,3150.0,325.3137999999999,224.609,422.6733,323.64115,49,negative,-0.7692307692307693,-1300.0,2.604,0.07529827781578599,0.013607073979801125,0.8444021094994527,nan
return,15.0,30.0,3150.0,325.3137999999999,224.609,422.6733,323.64115,49,positive,0.6837606837606838,1462.5,0.644,0.3465176372914363,0.33163484681566824,1.1937936972326453,nan
return,15.0,30.0,3150.0,325.3137999999999,224.609,422.6733,323.64115,49,negative,-0.5555555555555556,-1800.0,1.016,0.1232885057850665,0.0556397522489302,0.9517165432759336,nan
return,3.0,15.0,3192.0,283.3137999999999,183.77100000000002,381.8353,282.80315,49,positive,0.5662393162393162,1766.0377358490566,1.5639999999999998,0.07097924379278839,0.020732307045965598,1.1201359659717622,0.504
return,3.0,15.0,3192.0,283.3137999999999,183.77100000000002,381.8353,282.80315,49,negative,-0.5555555555555556,-1800.0,2.7279999999999998,0.10264970145340224,0.02437555814424183,0.8748953543029772,0.524
return,15.0,30.0,3192.0,283.3137999999999,183.77100000000002,381.8353,282.80315,49,positive,0.7264957264957265,1376.4705882352941,0.632,0.3186962431946074,0.2606369107422287,1.0424092234100328,0.002
return,15.0,30.0,3192.0,283.3137999999999,183.77100000000002,381.8353,282.80315,49,negative,-0.5662393162393162,-1766.0377358490566,1.18,0.09110927720686599,0.02952190709669532,0.8997765022660791,0.37
return,3.0,15.0,3200.0,275.3137999999999,175.6034,373.6677,274.63555,49,positive,0.5662393162393162,1766.0377358490566,1.148,0.06935804399524699,0.015245316360024021,0.9191560000118888,nan
return,3.0,15.0,3200.0,275.3137999999999,175.6034,373.6677,274.63555,49,negative,-0.5555555555555556,-1800.0,2.7319999999999998,0.0925487219715243,0.02312714446612154,0.8581705168547924,nan
return,15.0,30.0,3200.0,275.3137999999999,175.6034,373.6677,274.63555,49,positive,0.7051282051282052,1418.181818181818,0.624,0.32376666967945633,0.2628658305792312,1.0450481693311557,nan
return,15.0,30.0,3200.0,275.3137999999999,175.6034,373.6677,274.63555,49,negative,-0.5555555555555556,-1800.0,1.2,0.10050471303065794,0.02260240673919029,0.887293944345217,nan
return,3.0,15.0,3250.0,225.3137999999999,124.55590000000001,322.6202,223.58805,49,positive,0.6623931623931624,1509.6774193548388,0.5840000000000001,0.08862045023548129,0.04865371775839511,1.1460157874288355,nan
return,3.0,15.0,3250.0,225.3137999999999,124.55590000000001,322.6202,223.58805,49,negative,-0.7692307692307693,-1300.0,2.004,0.07068810251942875,0.032719931546149925,0.9703793179886921,nan
